acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade
0.292,['Rodríguez'],0.565,201827,0.721,0,0BhwDEYXisE3bcWuV4BSk3,1.31e-06,9,0.278,-5.184,0,To Whom It May Concern,38,3/5/1970,0.0323,122.20200000000001,0.595,1970,1970.0
0.107,['Dave Mason'],0.32299999999999995,274067,0.43200000000000005,0,1lbU09e2SYXn5XluhI4djx,0.0101,5,0.081,-14.565999999999999,1,World In Changes,24,1/1/1970,0.0295,91.984,0.53,1970,1970.0
0.305,['Jethro Tull'],0.46399999999999997,314173,0.5710000000000001,0,28UVhaTWdEkoHmKzwGcVE5,1.61e-06,4,0.313,-9.918,0,Nothing to Say - 2001 Remaster,31,8/20/1970,0.0321,122.73,0.654,1970,1970.0
0.007509999999999999,['Rodríguez'],0.504,202840,0.735,0,2PJCDwpQCdkDvYV1xklaI7,1.88e-05,4,0.0999,-6.084,1,Heikki's Suburbia Bus Tour,38,3/5/1970,0.0989,86.75,0.433,1970,1970.0
0.0619,['The Velvet Underground'],0.424,255680,0.289,0,3AFImoxgt7EmXHgpaGLbLt,0.00044400000000000006,5,0.10400000000000001,-12.062999999999999,1,I Found a Reason - 2015 Remaster,30,1970,0.0271,77.941,0.335,1970,1970.0
0.409,['Chicago'],0.27,309800,0.634,0,4LN8tUUSY9zTlROie7Hnm5,0.00288,10,0.0913,-9.634,1,Fancy Colours - 2002 Remaster,27,1/26/1970,0.0508,169.391,0.12300000000000001,1970,1970.0
0.433,['Mountain'],0.331,197627,0.718,0,4gqmzPwx8RG5gFLNXSeXgn,0.0219,2,0.12300000000000001,-9.641,1,Silver Paper,29,1970,0.0656,179.61599999999999,0.433,1970,1970.0
0.93,['Ahmad Jamal Trio'],0.5,265867,0.302,0,5XThWom9GPyAzKdZMN0Bxh,0.935,7,0.11,-14.937999999999999,0,Wave,25,1970,0.0285,90.9,0.361,1970,1970.0
0.91,['Ahmad Jamal Trio'],0.363,378427,0.40700000000000003,0,64vJj4Hdf7YTJl07TGQftP,0.9229999999999999,10,0.10300000000000001,-16.348,1,Patterns,25,1970,0.028999999999999998,177.66,0.263,1970,1970.0
0.53,['Taste'],0.51,360400,0.157,0,0SrSPUIcRyIRqODdFLXNUy,0.609,9,0.159,-20.56,0,On The Boards,37,1/1/1970,0.0446,80.74600000000001,0.14,1970,1970.0
0.10800000000000001,['Steppenwolf'],0.364,342133,0.6629999999999999,0,0jdFYK4xZlFSYfpj3Hnwgl,0.00526,9,0.203,-12.648,1,Hippo Stomp,29,1/1/1970,0.0878,168.562,0.542,1970,1970.0
0.507,['John Cale'],0.61,152627,0.672,0,1KwgoiZwQGqyQN7rYKsgOw,2.1e-06,8,0.125,-13.106,1,Cleo,28,1970,0.0401,121.486,0.9520000000000001,1970,1970.0
0.927,['Ladysmith Black Mambazo'],0.486,227373,0.105,0,2Heon2ZRiyw7nMX9GdfFZc,3.13e-06,5,0.162,-21.93,1,Unomathemba,33,1/1/1970,0.177,112.58200000000001,0.43200000000000005,1970,1970.0
0.627,['Rodríguez'],0.48700000000000004,241067,0.451,0,3P1Yb9uVorSSXPWEN1WhZ8,0.00409,0,0.121,-8.453,1,It Started Out So Nice,37,3/5/1970,0.0441,133.619,0.581,1970,1970.0
0.128,['Van Morrison'],0.759,209733,0.395,0,3y8N3R6a2SbcrFXbXA77PS,0.272,0,0.0969,-16.473,0,I've Been Working - 1999 Remaster,29,11/15/1970,0.0316,109.568,0.917,1970,1970.0
0.8909999999999999,['Lucio Dalla'],0.596,222160,0.305,0,3yGyWqmw9eCQPdJJ6iJLWs,1.94e-06,0,0.192,-13.27,1,4/3/1943,54,1970,0.046,134.381,0.782,1970,1970.0
0.41600000000000004,['Elton John'],0.44,307027,0.392,0,5aZWzadLEprtlv0ylYyruD,0.00047400000000000003,9,0.29,-10.485,0,The King Must Die,31,4/10/1970,0.0391,139.064,0.254,1970,1970.0
0.192,['James Gang'],0.424,339693,0.48700000000000004,0,68IuBqyVzRWKEfXf1twJl0,0.0856,5,0.7340000000000001,-11.094000000000001,1,Tend My Garden,26,1/1/1970,0.0379,114.89,0.17600000000000002,1970,1970.0
0.534,['Donny Hathaway'],0.41,401213,0.336,0,6B3H7aue15Ntp6sfQaH7wE,0.0299,0,0.622,-10.436,1,"To Be Young, Gifted and Black",29,1/1/1970,0.0285,135.158,0.341,1970,1970.0
0.0544,['Eric Clapton'],0.431,302493,0.682,0,6iNFe16r5xPX9ltRdSZXmx,0.00323,2,0.142,-10.265999999999998,1,Let It Rain,29,8/1/1970,0.0314,122.305,0.7,1970,1970.0
0.45299999999999996,['The Cannonball Adderley Quintet'],0.579,395064,0.573,0,05SNV4AS2CFV55nmiJPgqD,0.183,0,0.71,-11.194,1,Hummin' - Live,30,1/1/1970,0.0565,89.115,0.522,1970,1970.0
0.83,['Harry Nilsson'],0.732,89000,0.304,0,117rBB0OEexfRmf9h0tCl1,1.96e-06,9,0.233,-19.752,0,The Town - Narration,27,12/1/1970,0.467,116.384,0.669,1970,1970.0
0.976,['Freddie Hubbard'],0.42700000000000005,316400,0.0464,0,1fgH5fCOGviFtx2B2HeGRi,0.953,3,0.0966,-22.146,1,Here's That Rainy Day,30,1970,0.0439,131.613,0.16899999999999998,1970,1970.0
0.34,['The Doors'],0.679,111067,0.41,0,1smn3rqQVSdMebdcbe6cg2,0.000227,5,0.49,-10.927,1,Alabama Song (Whisky Bar),31,7/20/1970,0.0469,170.925,0.9009999999999999,1970,1970.0
0.0023,['The Beach Boys'],0.439,160933,0.42100000000000004,0,1vGqPTdYS0G7Bs1Ltru7Na,0.0,9,0.188,-9.812999999999999,1,Our Sweet Love - Remastered 2009,28,8/31/1970,0.0302,113.464,0.0945,1970,1970.0
0.7440000000000001,['Elton John'],0.593,257307,0.546,0,4UhrY4619OAy9Kg76Bdrli,0.0,8,0.0813,-9.07,1,Into The Old Man's Shoes,27,10/30/1970,0.0303,130.27,0.505,1970,1970.0
0.425,['The Velvet Underground'],0.611,210560,0.22,0,7uMDNeWshPiqZQFoNa8h1U,0.00692,2,0.183,-12.395999999999999,1,Sad Song - Demo Version; 2015 Remaster,30,1970,0.0425,77.479,0.45,1970,1970.0
0.154,['The Doors'],0.402,976133,0.515,0,0FFGwdVVLc7lBHRP1y7LrS,0.0045,11,0.737,-12.142999999999999,0,When the Music's Over - Live,30,7/20/1970,0.0499,105.40799999999999,0.603,1970,1970.0
0.522,['Elvis Presley'],0.475,279973,0.315,0,0J6CARn5LFLUTpOhFtgwsa,1.05e-06,5,0.983,-14.198,1,I Just Can't Help Believin' - Live,39,11/11/1970,0.0395,141.701,0.271,1970,1970.0
0.9440000000000001,['Elton John'],0.557,213413,0.16399999999999998,0,0RtAXppgY5K3BKEOZl4Lhg,0.0016,3,0.11699999999999999,-13.508,1,Your Song - Demo Version,26,4/10/1970,0.0356,144.325,0.337,1970,1970.0
0.758,['Bread'],0.633,171920,0.358,0,0Tma4GfDh9fHMrwho9e5Q9,0.58,9,0.0634,-12.53,0,I Want You with Me,33,1970,0.0279,120.16799999999999,0.431,1970,1970.0
0.0514,['Stevie Wonder'],0.67,161000,0.619,0,0kzhMZZNmxiLG7qyJhVBHB,0.0,0,0.0492,-10.365,0,"Signed, Sealed, Delivered (I'm Yours)",30,8/7/1970,0.0323,108.82600000000001,0.807,1970,1970.0
0.7659999999999999,['Bob Dylan'],0.64,328707,0.392,0,0z7gv3vV0CcVWNqzRUoTOj,0.0,7,0.0998,-10.322000000000001,1,Days of '49,30,6/8/1970,0.0396,81.312,0.687,1970,1970.0
0.00224,['Funkadelic'],0.304,361533,0.882,0,5cLFKVLwAMGpWpmLNNZA9M,0.0636,1,0.17800000000000002,-7.68,0,I Wanna Know If It's Good to You,28,7/1/1970,0.105,80.986,0.573,1970,1970.0
0.0040100000000000005,['The Velvet Underground'],0.494,283000,0.735,0,7eqBKfNuYoswOQLrMAullX,3.14e-06,5,0.544,-8.347000000000001,1,Rock and Roll - Full Length Version; 2015 Remaster,29,1970,0.0345,132.526,0.742,1970,1970.0
0.41200000000000003,['Three Dog Night'],0.682,179293,0.556,0,7tqa0goZ96pY22YWJy7gbP,0.00164,9,0.523,-12.257,1,I Can Hear You Calling - Single Version,25,1/1/1970,0.0413,90.03200000000001,0.9670000000000001,1970,1970.0
0.138,['Elton John'],0.602,206707,0.79,0,0DCyXrySuYSRIVDIuLPzdd,0.0,5,0.361,-6.728,0,The Cage,31,4/10/1970,0.0394,125.649,0.615,1970,1970.0
0.624,['Van Morrison'],0.498,227760,0.2,0,0FvVEEFe7CBy06SLn04Sw7,3.29e-06,7,0.18899999999999997,-17.628,1,If I Ever Needed Someone - 1999 Remaster,28,11/15/1970,0.0359,153.614,0.56,1970,1970.0
0.0528,['Chicago'],0.465,74766,0.863,0,2nOmVjYHHAC4hNGnHKSfMF,0.843,5,0.20800000000000002,-7.8870000000000005,0,To Be Free - 2002 Remaster,27,1/26/1970,0.0472,176.19799999999998,0.92,1970,1970.0
0.588,['Chicago'],0.573,190227,0.513,0,3iwQr7BZxjLbG392OlsH7c,0.000381,9,0.248,-7.74,1,The Road - 2002 Remaster,28,1/26/1970,0.031,117.354,0.51,1970,1970.0
0.986,"['Django Reinhardt', 'Quintette du Hot Club de France']",0.769,184160,0.408,0,4iMtHXdF3hiwTMCACP7F7x,0.892,2,0.10800000000000001,-11.184000000000001,0,Vendredi 13,32,1970,0.0418,130.871,0.951,1970,1970.0
0.645,['Canned Heat'],0.5660000000000001,206133,0.295,0,4xjRyR5XOobsT3vTqbMGED,0.0,1,0.0972,-14.522,1,Poor Moon - Bonus Track,30,8/3/1970,0.0432,141.192,0.423,1970,1970.0
0.442,['Taste'],0.5670000000000001,216427,0.387,0,0T7D44xh8oCPLYDfi8HIo7,0.00317,9,0.113,-16.605,1,Railway And Gun,36,1/1/1970,0.0622,112.73,0.534,1970,1970.0
0.986,['Vashti Bunyan'],0.34299999999999997,202747,0.0977,0,0Z39RPyN7Cr8278ckCy0hq,0.0115,2,0.113,-18.912,1,Rainbow River,25,1970,0.0477,83.773,0.626,1970,1970.0
0.863,['Willie Nelson'],0.654,197333,0.42,0,2utzkvWTRwmoovquzHaQQf,0.127,7,0.124,-11.104000000000001,1,Bloody Mary Morning,26,3/1/1970,0.0372,110.59700000000001,0.6609999999999999,1970,1970.0
0.629,['Anoushirvan Rohani'],0.34700000000000003,335334,0.528,0,7bl6zqSKHaCqKWmu6MMhp0,8.98e-06,4,0.0761,-10.073,0,Gole Sang,32,1970,0.0393,122.678,0.385,1970,1970.0
0.5770000000000001,['Derek & The Dominos'],0.40399999999999997,423840,0.902,0,4OcTjNItuEI4wjl9LOPoIm,0.297,1,0.287,-3.88,1,Layla - 40th Anniversary Version / 2010 Remastered,28,11/1/1970,0.0665,115.669,0.49700000000000005,1970,1970.0
0.599,['Grant Green'],0.775,335013,0.675,0,60dWKahUyEfdEVKCRggEhC,0.723,9,0.102,-10.520999999999999,0,Cantaloupe Woman,35,5/21/1971,0.0364,136.11,0.882,1971,1970.0
0.24,['Jimi Hendrix'],0.354,232507,0.7070000000000001,0,6qKlw6TyxVkaUZrlJYP8xD,0.586,8,0.652,-10.844000000000001,1,Night Bird Flying,32,1971,0.0353,105.965,0.7440000000000001,1971,1970.0
