decade,year,artists,name,genres,duration_ms,artist_song,release_date,valence,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,id
2020,2020,Night Lovell,Alone,"canadian hip hop, dark trap, emo rap, ottawa rap, underground hip hop",130000,Night Lovell - Alone,2020-09-18,0.696,0.0108,0.8290000000000001,0.609,1,0.261,10,0.11,-10.008,1,71,0.059000000000000004,143.97,7CwPDvjGUUyPSJK8HudIlO
2020,2020,NAV,Droppin Tears,"canadian hip hop, melodic rap, pop rap, rap, toronto rap, trap",129634,NAV - Droppin Tears,2020-11-11,0.89,0.584,0.894,0.565,0,0.0,10,0.19899999999999998,-6.246,0,39,0.259,110.93799999999999,5jQjiNRkafMRhIRvc04TKN
2020,2020,NAV,Droppin Tears,"canadian hip hop, melodic rap, pop rap, rap, toronto rap, trap",129634,NAV - Droppin Tears,2020-11-11,0.85,0.579,0.885,0.574,1,0.0,10,0.19699999999999998,-6.187,0,46,0.266,110.946,1GgGnCoDYNOGqWFcjLHHjN
2020,2020,"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),,129371,"ROSALÍA, Travis Scott - TKN (feat. Travis Scott)",2020-05-28,0.485,0.192,0.7759999999999999,0.509,0,1.49e-06,0,0.115,-6.266,0,84,0.467,94.634,4w47S36wQGBhGg073q3nt7
2020,2020,Claire Rosinkranz,Backyard Boy,"modern indie pop, pop",129241,Claire Rosinkranz - Backyard Boy,2020-10-02,0.45399999999999996,0.32299999999999995,0.8170000000000001,0.635,0,0.0,5,0.0738,-7.246,1,78,0.163,138.015,04F42oEuKrRComYJfJuyVR
2020,2020,Claire Rosinkranz,Backyard Boy,"modern indie pop, pop",129241,Claire Rosinkranz - Backyard Boy,2020-08-14,0.45299999999999996,0.321,0.8170000000000001,0.634,0,0.0,5,0.0735,-7.246,1,75,0.162,138.015,0QpOqKz66ZxHNqj2PPHiFF
2020,2020,"Machine Gun Kelly, Trippie Redd",all I know (feat. Trippie Redd),,129142,"Machine Gun Kelly, Trippie Redd - all I know (feat. Trippie Redd)",2020-09-29,0.335,0.0342,0.7120000000000001,0.624,1,4.91e-05,9,0.0919,-6.9110000000000005,1,67,0.067,77.471,5Vx0dXQM4yRn8jf87406Op
2020,2020,"Machine Gun Kelly, Trippie Redd",all I know (feat. Trippie Redd),,129142,"Machine Gun Kelly, Trippie Redd - all I know (feat. Trippie Redd)",2020-09-25,0.335,0.0342,0.7120000000000001,0.624,1,4.91e-05,9,0.0919,-6.9110000000000005,1,72,0.067,77.471,1vuUbnY82fCNjfzqjLmblw
2020,2020,"Gucci Mane, Megan Thee Stallion",Big Booty (feat. Megan Thee Stallion),,128995,"Gucci Mane, Megan Thee Stallion - Big Booty (feat. Megan Thee Stallion)",2020-11-19,0.435,0.031,0.8270000000000001,0.767,1,0.0,1,0.113,-3.8930000000000002,1,37,0.21600000000000005,159.975,6QNKa0Qp5CcTx7PMijpp4e
2020,2020,Kodak Black,Dummy Green,"florida rap, hip hop, melodic rap, miami hip hop, rap, southern hip hop, trap",128955,Kodak Black - Dummy Green,2020-11-10,0.48100000000000004,0.546,0.846,0.45,0,0.0,10,0.41100000000000003,-10.450999999999999,0,27,0.252,133.92600000000002,1NKxOm9UkOYh8Oz9ydzMF1
2020,2020,Kodak Black,Dummy Green,"florida rap, hip hop, melodic rap, miami hip hop, rap, southern hip hop, trap",128955,Kodak Black - Dummy Green,2020-11-11,0.541,0.473,0.8290000000000001,0.439,1,0.0,10,0.5,-10.35,0,61,0.226,133.929,1MaxVzDPZTgbP7HCuJZew1
2020,2020,YoungBoy Never Broke Again,Off 1Tenth,"baton rouge rap, trap",128104,YoungBoy Never Broke Again - Off 1Tenth,2020-11-13,0.764,0.221,0.612,0.762,1,0.0,3,0.23600000000000002,-5.7360000000000015,0,59,0.435,82.711,4UiUo8eOWzY9qaium18hul
2020,2020,Lil Eazzyy,Onna Come Up,chicago rap,128014,Lil Eazzyy - Onna Come Up,2020-10-02,0.649,0.35600000000000004,0.7959999999999999,0.426,1,2.730000000000001e-05,1,0.0941,-13.207,1,80,0.285,150.043,3NxFTRr0692mbC5hD0nEZD
