acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
79.8,13.4,5.05,88.6,11.6,43.965573,3.85,60.2549237,3.36
79.8,47.2,40.7,0.0121,5.44,18.6662784,3.61,45.3843739,45.6
86.6,50.6,57.1,71.7,15.1,24.3075778,4.26,52.9282739,76.8
73.6,74,8.7,51.6,9.2,36.822947,4.84,25.8674313,37.1
75,65.9,23.6,2.24E-03,7,28.7516987,4.24,41.4458235,85.3
77.6,42.5,16.2,0,30.9,31.3951983,3.76,45.545114,26.3
95.7,23,14.8,0.479,52.4,29.5460428,3.1,39.7676804,23.4
69.9,67.7,70.9,0.35,10.4,13.143079,5.09,73.8847611,96.4
97,62.8,14,69.5,11.6,30.4180418,5.83,30.462337,30.5
75.6,62.2,24.1,0,15.3,22.3014949,5.97,58.9736077,61.4
99.4,36.8,3.24,89.3,11.1,44.6547596,4.61,43.5777224,11.3
69.5,72.9,49,0,13.7,25.4659289,4.23,58.3653907,94.4
84.8,48.3,27,0,19.1,27.0707953,2.78,37.1058415,51.7
38.9,48,68.9,0,17.2,20.4944024,5.01,39.8606082,96.4
31.7,65.1,75.9,10.8,17.9,14.8757523,3.87,63.3274033,87.2
87.9,71.5,20.5,22.8,13.8,31.3256326,2.81,40.7183072,67.9
94.1,51.9,0.905,2.07,12,51.3023361,3.47,44.2847276,17.5
79.6,52.7,40.5,28.8,9.04,26.3702841,3.07,36.1598192,70.9
72.1,55.1,42.8,0,13.2,14.0522876,3.6,51.8516503,55.7
73.9,58.8,51.2,3.02E-03,22.7,22.7544813,3.02,58.7107307,92
69.1,71.2,41.7,0,14.6,15.9936582,3.77,50.3317357,91.8
96.5,21.8,32.7,57.1,33.8,21.445674,3.76,86.8247556,29.4
97.5,25,10.2,89.6,9.69,37.6334692,3.48,36.7563155,15.8
80.5,26.8,27.2,55.2,26.7,29.0105481,4.05,52.852927,19.4
89.2,50.2,11.1,1.97E-03,35,32.9418236,6.06,48.309927,45.9
93.4,43.8,8.46,88.6,12.1,45.3940982,3.66,49.664497,6.53
95.5,29.7,14.5,0.541,11.1,28.5769753,3.66,52.3288474,29.6
90,42,14.6,91.1,11.3,43.1129878,3.74,44.0565939,10
99.1,14.5,11.9,4.2,12.5,43.1437261,4.3,30.5648925,10.4
88.8,24.1,17.5,0.015,18.6,25.6212386,3.21,70.2074133,18.7
72.5,87.4,49,7.56E-03,10.6,17.5451369,6.24,43.3868436,90
74,55.9,27.5,11.3,11.4,29.57031,4.98,61.5760062,55.3
99.4,21.1,0.756,89,7.34,56.5181518,4.55,49.497478,3.91
78.2,47.7,36.1,0.0117,13.1,32.2202809,4.41,32.730279,38.7
73,79.9,55.3,0.0962,10.8,16.4207597,6.52,58.881517,92.4
23.5,37.8,72.1,74.9,21.2,22.367825,3.77,58.5985475,77.5
67.3,64.8,21.1,4.60E-03,42.9,21.4278781,4.44,51.3183616,52.1
58.4,75.1,60.3,0,7.72,24.1910956,11,46.1478892,64.6
62.2,66,26.4,0,35.4,23.3045363,3.7,41.4110802,78.1
64.3,65.8,38.3,0,32.8,22.7819841,3.01,48.5656879,76.8
79.8,51.2,5.11,23.4,16.7,32.0714424,7.67,31.1371104,24.9
80.4,40.9,16.5,6.55E-04,22.8,26.5903061,2.84,36.8525921,27
90.8,42.9,15.4,0.201,9.07,27.8457257,3.26,40.9594173,21.8
78.1,63.9,62.5,0,6.96,14.6816152,4.2,44.1976601,87.9
95.6,55.9,12.8,81,11.7,32.7800427,3.8,50.2982482,22.1
91.5,28.2,16.9,3.91E-03,16.5,31.0150133,3.85,42.7129073,14.6
39.9,47.7,84,3.10E-04,60.4,14.4340905,11.8,77.292953,96.1
82.4,66.3,54.7,82,9.24,25.4028344,11.8,61.454614,84.2
79.6,40.4,48.4,0,39,23.8092927,9.66,34.5536742,59.5
76.3,63.3,33.1,13.4,31.6,34.486831,4.08,49.8800728,85.8
83.2,53.4,34.4,0.119,32.6,20.6092668,2.94,45.9025932,58.5
99,38.7,3.41,91.4,11.8,49.6214327,3.69,43.1201993,5.85
57.2,61.1,30.9,7.14,12.1,28.1417848,5.19,37.6562925,68.9
94.4,67.3,13,0.123,31.6,30.6137967,4.51,52.2920111,79.2
77,52,75.3,0,25,15.9014431,5.81,77.8170326,64.5
